產業,條件受眾
A&A,健身
A&A,懷孕
EC,Coupons
EC,ikea
EC,Sports
EC,Travel
EC,大都市
EC,已婚
EC,內衣
EC,幼稚園
EC,本日優惠
EC,休閒娛樂
EC,肌力訓練
EC,折扣和折讓
EC,沐浴乳
EC,咖啡
EC,居家
EC,春節
EC,柯以柔
EC,美容保養
EC,范瑋琪
EC,重量訓練
EC,哺乳
EC,哺乳胸罩
EC,時尚
EC,浴室
EC,益生菌
EC,健康保健
EC,健康消化
EC,涼鞋
EC,隋棠
EC,業務
EC,腹部
EC,賈靜雯
EC,運動
EC,零食
EC,團購
EC,睡眠
EC,網路購物
EC,廚房
EC,瘦身減肥方法食譜節食運動減肥藥產後瘦身瘦小腹瘦大腿
EC,線上購物
EC,鞋類
EC,韓國文化
EC,醫院
Edu,Angelbaby安琪兒婦嬰百貨
Edu,Cat play and toys
Edu,designer
Edu,english
Edu,graphic design
Edu,Pre-school playgroup
Edu,Summer school
Edu,子女教育
Edu,已婚女
Edu,中小型企業
Edu,父母（全部）
Edu,王宏哲教養、育兒寶典
Edu,幼兒教育
Edu,生活質量
Edu,住家
Edu,房間
Edu,英語
Edu,食譜
Edu,家務
Edu,旅遊
Edu,起居間房屋
Edu,商業
Edu,教育
Edu,烹飪
Edu,理財
Edu,設計
Edu,創意
Edu,經常旅行的人
Edu,補習班
Edu,語言
Edu,樂高
Edu,學習
Edu,學齡前兒童的家長（03-05 歲）
Ent.,KPOP
Ent.,Spotify
Ent.,上班族
Ent.,小美人魚
Ent.,日本流行文化
Ent.,各分店
Ent.,到過站
Ent.,房地產
Ent.,阿拉丁
Ent.,美女與野獸
Ent.,音樂
Ent.,家長
Ent.,曾到過站
Ent.,獅子王
Ent.,裝潢
Ent.,電視
Ent.,電影
Ent.,漫畫
Ent.,韓劇
Finance,bose headphone
Finance,VOGUE
Finance,大英博物館
Finance,大都會藝術博物館
Finance,布魯克林博物館
Finance,自僱者
Finance,妝飾藝術
Finance,折扣商店
Finance,金融服務
Finance,信用卡
Finance,音響設備
Finance,娛樂
Finance,旅行
Finance,現代藝術
Finance,現代藝術博物館
Finance,博士音響
Finance,博物館
Finance,新當代藝術博物館
Finance,裝置藝術
Finance,電子貨幣
Finance,賭博
Finance,羅浮宮
Finance,藝術品
H&B,ELLE
H&B,Entertainment Media
H&B,Shopping
H&B,Skin Care
H&B,女人我最大
H&B,工作需求
H&B,化妝品
H&B,皮膚
H&B,克蘭詩
H&B,投資
H&B,度假
H&B,柯夢波丹
H&B,美容
H&B,美麗佳人
H&B,粉絲朋友
H&B,假期
H&B,教師
H&B,新聞
H&B,瑜珈
H&B,資生堂
H&B,遊戲
Real estate,不動產
Real estate,戶外休閒
Real estate,老闆創業
Real estate,折扣比價
Real estate,房地產投資
Real estate,房屋
Real estate,股東
Real estate,金融投資
Real estate,退休
Real estate,國際飛行常客
Real estate,經常旅行的用戶
Real estate,購物